dist_code,hlcit_code,district,vdc,priority,above_1500,num_hh_damage,pct_damage,target_hh,in_db,map_cd,census_hh_dmg,hh_above_1500,hh_below_1500
524 2 05 24,524 2 05 24 5 001,Kavrepalanchok,Sarasyunkhark,t,f,1115,,,f,-4,,1212,978
524 2 05 24,524 2 05 24 5 002,Kavrepalanchok,Foksingtar,t,t,434,,,f,-1,,344,408
524 2 05 24,524 2 05 24 5 003,Kavrepalanchok,Birtadeurali,t,f,502,,,f,-4,,68,992
524 2 05 24,524 2 05 24 5 004,Kavrepalanchok,Dhuseni Siwalaya,t,t,419,,,f,-1,,448,284
524 2 05 24,524 2 05 24 5 005,Kavrepalanchok,Gothpani,t,t,604,,,f,-1,,910,126
524 2 05 24,524 2 05 24 5 006,Kavrepalanchok,Katike Deurali,t,f,600,,,f,-4,,204,1146
524 2 05 24,524 2 05 24 5 008,Kavrepalanchok,Majhi Feda,t,f,475,,,f,-4,,770,484
524 2 05 24,524 2 05 24 5 009,Kavrepalanchok,Nagre Gagarche,t,t,519,,,f,-1,,686,272
524 2 05 24,524 2 05 24 5 011,Kavrepalanchok,Bolde Fediche,t,t,434,,,f,-1,,188,752
524 2 05 24,524 2 05 24 5 014,Kavrepalanchok,Katunje Besi,t,t,494,,,f,-1,,144,850
524 2 05 24,524 2 05 24 5 015,Kavrepalanchok,Machchhegaun,t,f,775,,,f,-4,,1994,532
524 2 05 24,524 2 05 24 5 066,Kavrepalanchok,Ravi Opi,t,f,1102,,,f,-4,,1022,824
524 2 05 24,524 2 05 24 5 067,Kavrepalanchok,Anekot,t,f,0,1,,f,-4,,460,2526
524 2 05 24,524 2 05 24 5 068,Kavrepalanchok,Chandeni Mandan,t,f,910,,,f,-4,,202,1362
524 2 05 24,524 2 05 24 5 069,Kavrepalanchok,Devitar,t,f,625,,,f,-4,,602,542
524 2 05 24,524 2 05 24 5 070,Kavrepalanchok,Jaisithok Mandan,t,f,1050,,,f,-4,,82,1252
524 2 05 24,524 2 05 24 5 083,Kavrepalanchok,Salle Bhumlu,t,t,553,,,f,-1,,804,174
524 2 05 25,524 2 05 25 5 005,Lalitpur,Malta,t,t,96,,,f,-1,,652,88
524 2 05 25,524 2 05 25 5 007,Lalitpur,Pyutar,t,f,99,,,f,-4,,352,412
524 2 05 25,524 2 05 25 5 014,Lalitpur,Ashrang,t,f,71,,,f,-4,,124,430
524 2 05 25,524 2 05 25 5 015,Lalitpur,Chandanpur,t,t,57,,,f,-1,,396,48
524 2 05 25,524 2 05 25 5 016,Lalitpur,Gimdi,t,f,118,,,f,-4,,444,478
524 2 05 25,524 2 05 25 5 019,Lalitpur,Thuladurlung,t,t,75,,,f,-1,,254,328
524 2 05 25,524 2 05 25 5 020,Lalitpur,Dukuchhap,t,f,141,,,f,-4,,474,636
524 2 05 25,524 2 05 25 5 021,Lalitpur,Chhampi,t,f,270,,,f,-4,,1060,1082
524 2 05 25,524 2 05 25 5 023,Lalitpur,Badikhel,t,f,199,,,f,-4,,980,602
524 2 05 27,524 2 05 27 5 045,Kathmandu,Balambu,t,f,446,,,f,-4,,154,3314
524 2 05 27,524 2 05 27 5 046,Kathmandu,Mahadevathan,t,f,950,,,f,-4,,2338,5124
524 2 05 27,524 2 05 27 5 049,Kathmandu,Machhegaun,t,t,225,,,f,-1,,606,1138
524 2 05 27,524 2 05 27 5 050,Kathmandu,Chalnakhel,t,t,260,,,f,-1,,1758,252
524 2 05 27,524 2 05 27 5 053,Kathmandu,Setidevi,t,f,270,,,f,-4,,866,1212
524 2 05 27,524 2 05 27 5 055,Kathmandu,Chhaimale,t,t,256,,,f,-1,,1776,160
524 2 05 28,524 2 05 28 5 001,Nuwakot,Chauthe,t,t,697,,,f,-1,,648,746
524 2 05 28,524 2 05 28 5 003,Nuwakot,Kakani,t,t,1390,,,f,-1,,2586,194
524 2 05 28,524 2 05 28 5 005,Nuwakot,Okharpauwa,t,t,1510,,,f,-1,,2580,440
524 2 05 28,524 2 05 28 5 007,Nuwakot,Thanapati,t,t,626,,,f,-1,,320,932
524 2 05 28,524 2 05 28 5 008,Nuwakot,Belkot,t,t,1549,,,f,-1,,1726,1372
524 2 05 28,524 2 05 28 5 010,Nuwakot,Chaturale,t,t,708,,,f,-1,,442,974
524 2 05 28,524 2 05 28 5 011,Nuwakot,Jiling,t,t,1271,,,f,-1,,900,1642
524 2 05 28,524 2 05 28 5 014,Nuwakot,Thansing,t,t,1388,,,f,-1,,504,2272
524 2 05 28,524 2 05 28 5 018,Nuwakot,Mahakali,t,t,788,,,f,-1,,886,690
524 2 05 28,524 2 05 28 5 021,Nuwakot,Balkumari,t,t,496,,,f,-1,,852,140
524 2 05 28,524 2 05 28 5 024,Nuwakot,Panchakanya,t,t,544,,,f,-1,,464,624
524 2 05 28,524 2 05 28 5 027,Nuwakot,Bhadrutar,t,t,705,,,f,-1,,522,888
524 2 05 28,524 2 05 28 5 031,Nuwakot,Ralukadevi,t,t,916,,,f,-1,,1194,638
524 2 05 28,524 2 05 28 5 036,Nuwakot,Bageswori,t,f,1073,,,f,-4,,1070,1076
524 2 05 28,524 2 05 28 5 038,Nuwakot,Gerkhu,t,f,1421,,,f,-4,,782,2060
524 2 05 28,524 2 05 28 5 043,Nuwakot,Narjamandap,t,t,1012,,,f,-1,,416,1608
524 2 05 28,524 2 05 28 5 050,Nuwakot,Barsunchet,t,t,118,,,f,-1,,194,42
524 2 05 28,524 2 05 28 5 051,Nuwakot,Bungtang,t,t,599,,,f,-1,,1044,154
524 2 05 28,524 2 05 28 5 052,Nuwakot,Deurali,t,t,1005,,,f,-1,,1762,248
524 2 05 28,524 2 05 28 5 053,Nuwakot,Kalyanpur,t,f,1243,,,f,-4,,1124,1362
524 2 05 30,524 2 05 30 5 045,Dhading,Pida,t,t,2479,,,f,-1,,1282,3146
524 2 05 30,524 2 05 30 5 046,Dhading,Tasarpu,t,f,1271,,,f,-4,,1122,1074
524 2 05 30,524 2 05 30 5 049,Dhading,Naubise,t,t,3482,,,f,-1,,4820,1548
524 2 05 30,524 2 05 30 5 050,Dhading,Thakre,t,f,2258,,,f,-4,,1678,2604
524 2 06 31,524 2 06 31 5 001,Makwanpur,Thingan,t,f,466,,,f,-4,,358,1068
524 2 06 31,524 2 06 31 5 003,Makwanpur,Sukaura,t,f,483,,,f,-4,,786,522
524 2 06 31,524 2 06 31 5 004,Makwanpur,Ambhanjyang,t,f,1178,,,f,-4,,1224,1582
